,deck,over,won,lost
111,Burn,Dredge,1,4
42,Burn,Green Tron,7,6
51,Burn,Hardened Scales,5,6
121,Burn,Infect,3,1
87,Burn,Jund,0,7
41,Burn,Spirits,12,10
109,Death's Shadow,Dredge,0,5
72,Death's Shadow,Green Tron,4,10
123,Death's Shadow,Infect,4,0
79,Death's Shadow,Ironworks,2,5
70,Death's Shadow,Spirits,10,15
102,Death's Shadow,W/U Control,2,6
115,Dredge,Ironworks,2,6
108,Dredge,Izzet Phoenix,7,0
113,Dredge,Spirits,10,14
52,Green Tron,Hardened Scales,10,9
99,Green Tron,Humans,10,6
120,Green Tron,Infect,7,8
81,Green Tron,Ironworks,8,8
61,Green Tron,Izzet Phoenix,10,8
92,Green Tron,Jund,8,4
27,Green Tron,Spirits,19,18
98,Hardened Scales,Humans,8,3
78,Hardened Scales,Ironworks,3,8
62,Hardened Scales,Izzet Phoenix,9,6
93,Hardened Scales,Jund,3,1
49,Hardened Scales,Spirits,19,12
104,Hardened Scales,W/U Control,2,5
116,Humans,Infect,0,4
96,Humans,Izzet Phoenix,8,5
95,Humans,Jund,4,0
97,Humans,Spirits,8,10
118,Infect,Ironworks,6,2
122,Infect,Izzet Phoenix,1,9
119,Infect,Spirits,11,9
82,Ironworks,Izzet Phoenix,4,6
91,Ironworks,Jund,6,5
83,Ironworks,Spirits,9,15
103,Ironworks,W/U Control,1,3
90,Izzet Phoenix,Jund,4,7
59,Izzet Phoenix,Spirits,20,12
107,Jund,W/U Control,3,1
105,Spirits,W/U Control,12,6
